tle_age_days,error_km
3.0,6.661
3.5,9.646
4.0,13.013
4.5,16.493
5.0,21.046
5.5,25.994
6.0,62.484
6.5,182.437
7.0,297.258
0.25,0.259
0.5,0.109
0.75,0.172
1.0,0.379
1.5,0.842
2.0,3.155
2.5,5.408
3.0,8.62
3.5,11.884
4.0,15.351
4.5,19.001
5.0,24.084
5.5,6.491
6.0,121.114
6.5,240.853
7.0,355.462
0.25,0.027
0.5,0.311
0.75,0.51
1.0,0.431
1.5,2.287
2.0,4.01
2.5,5.977
3.0,8.651
3.5,11.608
4.0,14.088
4.5,16.96
5.0,22.739
5.5,134.839
6.0,251.479
6.5,372.146
7.0,488.262
0.25,0.334
0.5,0.562
0.75,0.134
1.0,0.983
1.5,2.663
2.0,4.135
2.5,5.867
3.0,8.359
3.5,10.918
4.0,13.072
4.5,15.55
5.0,71.278
5.5,183.945
6.0,301.11
6.5,422.41
0.25,0.065
0.5,0.677
0.75,1.46
1.0,2.693
1.5,5.481
2.0,8.503
2.5,11.588
3.0,15.879
3.5,20.339
4.0,24.502
4.5,29.359
5.0,86.076
5.5,195.856
6.0,310.069
6.5,428.293
0.25,0.641
0.5,1.384
0.75,2.559
1.0,3.804
1.5,6.601
2.0,9.636
2.5,12.95
3.0,17.051
3.5,21.637
4.0,26.054
4.5,31.528
5.0,147.037
5.5,257.092
6.0,371.18
6.5,489.107
0.25,0.472
0.5,0.355
0.75,0.382
1.0,0.291
1.5,0.135
2.0,1.053
2.5,2.371
3.0,3.818
3.5,5.275
4.0,8.006
4.5,166.393
5.0,290.988
5.5,410.137
0.25,0.398
0.5,0.798
0.75,1.467
1.0,2.1
1.5,4.066
2.0,6.888
2.5,10.55
3.0,14.333
3.5,18.689
4.0,117.619
4.5,248.984
5.0,376.765
0.25,0.123
0.5,0.392
0.75,0.673
1.0,0.929
1.5,2.361
2.0,4.517
2.5,7.343
3.0,10.015
3.5,13.182
4.0,142.09
4.5,271.764
5.0,398.025
0.25,0.129
0.5,0.4
0.75,0.68
1.0,0.934
1.5,2.368
2.0,4.523
2.5,7.351
3.0,10.022
3.5,13.189
4.0,142.097
4.5,271.771
5.0,398.033
0.25,0.346
0.5,0.702
0.75,1.069
1.0,1.893
1.5,3.633
2.0,6.248
2.5,9.407
3.0,12.524
3.5,83.061
4.0,208.36
4.5,338.223
5.0,465.229
0.25,0.34
0.5,0.695
0.75,1.062
1.0,1.887
1.5,3.627
2.0,6.242
2.5,9.402
3.0,12.519
3.5,83.055
4.0,208.355
4.5,338.218
5.0,465.224
0.25,0.021
0.5,0.075
0.75,0.183
1.0,0.262
1.5,0.376
2.0,1.215
2.5,1.869
3.0,46.08
3.5,163.015
4.0,284.179
4.5,410.016
0.25,0.124
0.5,0.101
0.75,0.163
1.0,0.237
1.5,0.183
2.0,0.786
2.5,0.978
3.0,91.523
3.5,207.878
4.0,328.362
4.5,453.531
0.25,0.189
0.5,0.21
0.75,0.241
1.0,0.306
1.5,0.035
2.0,0.582
2.5,0.418
3.0,121.863
3.5,237.749
4.0,357.798
4.5,482.565
0.25,0.055
0.5,0.105
0.75,0.288
1.0,0.361
1.5,0.668
2.0,1.03
2.5,76.739
3.0,198.03
3.5,313.321
4.0,432.56
0.25,0.055
0.5,0.105
0.75,0.288
1.0,0.361
1.5,0.668
2.0,1.03
2.5,76.739
3.0,198.03
3.5,313.321
4.0,432.56
0.25,0.074
0.5,0.051
0.75,0.145
1.0,0.287
1.5,0.396
2.0,0.481
2.5,155.293
3.0,277.156
3.5,392.886
0.25,0.185
0.5,0.355
0.75,0.517
1.0,0.57
1.5,0.399
2.0,93.961
2.5,219.539
3.0,341.297
3.5,457.811
0.25,0.07
0.5,0.253
0.75,0.636
1.0,1.285
1.5,2.976
2.0,119.866
2.5,242.883
3.0,361.958
3.5,475.141
0.25,0.07
0.5,0.253
0.75,0.636
1.0,1.285
1.5,2.976
2.0,119.866
2.5,242.883
3.0,361.958
3.5,475.141
0.25,0.072
0.5,0.123
0.75,0.123
1.0,0.196
1.5,66.603
2.0,186.773
2.5,311.335
3.0,432.847
0.25,0.072
0.5,0.123
0.75,0.123
1.0,0.196
1.5,66.603
2.0,186.773
2.5,311.335
3.0,432.847
0.25,0.113
0.5,0.244
0.75,0.396
1.0,43.505
1.5,159.565
2.0,278.892
2.5,403.017
0.25,0.141
0.5,0.21
0.75,61.6
1.0,121.646
1.5,237.762
2.0,357.309
2.5,481.84
0.25,0.221
0.5,62.362
0.75,124.288
1.0,184.42
1.5,301.008
2.0,420.701
0.25,0.221
0.5,62.362
0.75,124.288
1.0,184.42
1.5,301.008
2.0,420.701
0.25,0.283
0.5,0.63
0.75,1.045
1.0,2.173
1.5,4.255
2.0,6.911
2.5,10.28
3.0,15.888
3.5,22.897
4.0,31.024
4.5,40.729
5.0,52.315
5.5,64.553
6.0,76.045
6.5,89.188
7.0,104.691
0.25,0.689
0.5,0.505
0.75,1.519
1.0,2.568
1.5,5.312
2.0,8.076
2.5,11.82
3.0,18.277
3.5,26.083
4.0,34.545
4.5,44.697
5.0,57.178
5.5,69.559
6.0,81.193
6.5,94.843
7.0,111.207
0.25,1.203
0.5,5.808
0.75,12.864
1.0,23.115
1.5,51.595
2.0,91.196
2.5,141.58
3.0,202.782
3.5,274.182
4.0,355.594
4.5,447.447
0.25,1.203
0.5,5.808
0.75,12.864
